F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	
0.0489	1.9335e+005	0.5334	0.8289	0.9799	0.0000	0.0000	0.9799	0.9799	0.9799	0.0000	0.0000	
0.0499	1.9315e+005	0.5323	0.8282	0.9798	0.0000	0.0000	0.9798	0.9798	0.9798	0.0000	0.0000	
0.0509	1.9295e+005	0.5217	0.8252	0.9797	0.0000	0.0000	0.9797	0.9797	0.9797	0.0000	0.0000	
0.0519	1.9274e+005	0.5198	0.8244	0.9795	0.0000	0.0000	0.9795	0.9795	0.9795	0.0000	0.0000	
0.0529	1.9254e+005	0.5198	0.8240	0.9794	0.0000	0.0000	0.9794	0.9794	0.9794	0.0000	0.0000	
0.0539	1.9234e+005	0.5190	0.8234	0.9793	0.0000	0.0000	0.9793	0.9793	0.9793	0.0000	0.0000	
0.0549	1.9213e+005	0.5190	0.8229	0.9792	0.0000	0.0000	0.9792	0.9792	0.9792	0.0000	0.0000	
0.0559	1.9193e+005	0.5190	0.8225	0.9791	0.0000	0.0000	0.9791	0.9791	0.9791	0.0000	0.0000	
0.0569	1.9173e+005	0.5190	0.8221	0.9789	0.0000	0.0000	0.9789	0.9789	0.9789	0.0000	0.0000	
0.0579	1.9152e+005	0.5186	0.8216	0.9788	0.0000	0.0000	0.9788	0.9788	0.9788	0.0000	0.0000	
0.0589	1.9132e+005	0.5179	0.8208	0.9787	0.0000	0.0000	0.9787	0.9787	0.9787	0.0000	0.0000	
0.0599	1.9112e+005	0.5178	0.8204	0.9785	0.0000	0.0000	0.9785	0.9785	0.9785	0.0000	0.0000	
0.0609	1.9092e+005	0.5177	0.8200	0.9784	0.0000	0.0000	0.9784	0.9784	0.9784	0.0000	0.0000	
0.0619	1.9071e+005	0.5175	0.8195	0.9783	0.0000	0.0000	0.9783	0.9783	0.9783	0.0000	0.0000	
0.0629	1.9051e+005	0.5172	0.8191	0.9781	0.0000	0.0000	0.9781	0.9781	0.9781	0.0000	0.0000	
0.0639	1.9031e+005	0.5171	0.8186	0.9780	0.0000	0.0000	0.9780	0.9780	0.9780	0.0000	0.0000	
0.0649	1.901e+005	0.5171	0.8181	0.9778	0.0000	0.0000	0.9778	0.9778	0.9778	0.0000	0.0000	
0.0659	1.899e+005	0.5170	0.8177	0.9777	0.0000	0.0000	0.9777	0.9777	0.9777	0.0000	0.0000	
0.0669	1.897e+005	0.5166	0.8171	0.9775	0.0000	0.0000	0.9775	0.9775	0.9775	0.0000	0.0000	
0.0679	1.895e+005	0.5161	0.8164	0.9774	0.0000	0.0000	0.9774	0.9774	0.9774	0.0000	0.0000	
0.0689	1.8929e+005	0.5161	0.8159	0.9772	0.0000	0.0000	0.9772	0.9772	0.9772	0.0000	0.0000	
0.0699	1.8909e+005	0.5159	0.8154	0.9770	0.0000	0.0000	0.9770	0.9770	0.9770	0.0000	0.0000	
0.0709	1.8889e+005	0.5159	0.8150	0.9769	0.0000	0.0000	0.9769	0.9769	0.9769	0.0000	0.0000	
