F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	
0.0489	1.9433e+005	0.9557	0.9806	0.9978	0.9897	0.0026	0.9822	0.9878	0.9913	0.0000	0.0000	
0.0499	1.9413e+005	0.9542	0.9800	0.9977	0.9895	0.0026	0.9817	0.9875	0.9910	0.0000	0.0000	
0.0509	1.9392e+005	0.9531	0.9795	0.9977	0.9892	0.0027	0.9813	0.9872	0.9908	0.0000	0.0000	
0.0519	1.9372e+005	0.9516	0.9789	0.9976	0.9890	0.0028	0.9809	0.9869	0.9905	0.0000	0.0000	
0.0529	1.9352e+005	0.9502	0.9784	0.9975	0.9887	0.0028	0.9805	0.9866	0.9903	0.0000	0.0000	
0.0539	1.9331e+005	0.9490	0.9778	0.9973	0.9884	0.0029	0.9800	0.9862	0.9899	0.0000	0.0000	
0.0549	1.9311e+005	0.9479	0.9773	0.9972	0.9881	0.0030	0.9796	0.9858	0.9896	0.0000	0.0000	
0.0559	1.929e+005	0.9459	0.9766	0.9971	0.9879	0.0031	0.9792	0.9855	0.9892	0.0000	0.0000	
0.0569	1.927e+005	0.9446	0.9760	0.9970	0.9876	0.0031	0.9787	0.9851	0.9889	0.0000	0.0000	
0.0579	1.925e+005	0.9434	0.9755	0.9968	0.9873	0.0032	0.9783	0.9847	0.9886	0.0000	0.0000	
0.0589	1.9229e+005	0.9424	0.9750	0.9967	0.9870	0.0033	0.9779	0.9844	0.9882	0.0000	0.0000	
0.0599	1.9209e+005	0.9407	0.9744	0.9965	0.9867	0.0033	0.9774	0.9840	0.9878	0.0000	0.0000	
0.0609	1.9188e+005	0.9398	0.9739	0.9964	0.9864	0.0034	0.9770	0.9836	0.9875	0.0000	0.0000	
0.0619	1.9168e+005	0.9384	0.9734	0.9963	0.9861	0.0035	0.9766	0.9833	0.9872	0.0000	0.0000	
0.0629	1.9148e+005	0.9370	0.9728	0.9962	0.9859	0.0036	0.9761	0.9829	0.9868	0.0000	0.0000	
0.0639	1.9127e+005	0.9359	0.9723	0.9961	0.9856	0.0036	0.9757	0.9825	0.9865	0.0000	0.0000	
0.0649	1.9107e+005	0.9344	0.9717	0.9959	0.9853	0.0037	0.9752	0.9821	0.9861	0.0000	0.0000	
0.0659	1.9086e+005	0.9331	0.9711	0.9958	0.9850	0.0038	0.9748	0.9817	0.9857	0.0000	0.0000	
0.0669	1.9066e+005	0.9318	0.9706	0.9956	0.9847	0.0039	0.9743	0.9814	0.9854	0.0000	0.0000	
0.0679	1.9046e+005	0.9309	0.9701	0.9955	0.9844	0.0039	0.9739	0.9810	0.9850	0.0000	0.0000	
0.0689	1.9025e+005	0.9297	0.9695	0.9954	0.9841	0.0040	0.9734	0.9806	0.9846	0.0000	0.0000	
0.0699	1.9005e+005	0.9284	0.9690	0.9952	0.9838	0.0041	0.9730	0.9802	0.9843	0.0000	0.0000	
0.0709	1.8984e+005	0.9268	0.9683	0.9951	0.9835	0.0042	0.9725	0.9798	0.9839	0.0000	0.0000	
0.0719	1.8964e+005	0.9259	0.9679	0.9949	0.9832	0.0042	0.9721	0.9794	0.9835	0.0000	0.0000	
