F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	
0.0000	2.0433e+005	1.0000	1.0000	1.0001	1.0000	-0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0010	2.0412e+005	0.9986	0.9996	1.0000	0.9999	0.0000	0.9998	0.9999	0.9999	0.0000	0.0000	
0.0020	2.0392e+005	0.9973	0.9991	1.0000	0.9998	0.0001	0.9996	0.9997	0.9998	0.0000	0.0000	
0.0030	2.0372e+005	0.9955	0.9986	1.0000	0.9996	0.0001	0.9993	0.9995	0.9996	0.0000	0.0000	
0.0040	2.0351e+005	0.9942	0.9981	0.9999	0.9995	0.0001	0.9991	0.9993	0.9995	0.0000	0.0000	
0.0050	2.0331e+005	0.9929	0.9977	0.9999	0.9993	0.0002	0.9988	0.9991	0.9994	0.0000	0.0000	
0.0060	2.031e+005	0.9920	0.9973	0.9999	0.9991	0.0002	0.9985	0.9989	0.9992	0.0000	0.0000	
0.0070	2.029e+005	0.9911	0.9969	0.9998	0.9990	0.0003	0.9982	0.9987	0.9990	0.0000	0.0000	
0.0080	2.027e+005	0.9902	0.9966	0.9998	0.9988	0.0003	0.9979	0.9985	0.9989	0.0000	0.0000	
0.0090	2.0249e+005	0.9893	0.9962	0.9997	0.9986	0.0003	0.9976	0.9983	0.9987	0.0000	0.0000	
0.0100	2.0229e+005	0.9884	0.9958	0.9997	0.9984	0.0004	0.9973	0.9980	0.9985	0.0000	0.0000	
0.0110	2.0208e+005	0.9873	0.9954	0.9996	0.9982	0.0004	0.9969	0.9978	0.9983	0.0000	0.0000	
0.0120	2.0188e+005	0.9860	0.9949	0.9996	0.9980	0.0005	0.9966	0.9976	0.9982	0.0000	0.0000	
0.0130	2.0168e+005	0.9849	0.9944	0.9995	0.9978	0.0005	0.9963	0.9973	0.9980	0.0000	0.0000	
0.0140	2.0147e+005	0.9838	0.9940	0.9995	0.9976	0.0006	0.9959	0.9971	0.9978	0.0000	0.0000	
0.0150	2.0127e+005	0.9829	0.9936	0.9994	0.9974	0.0007	0.9956	0.9968	0.9976	0.0000	0.0000	
0.0160	2.0106e+005	0.9819	0.9932	0.9994	0.9972	0.0007	0.9952	0.9966	0.9974	0.0000	0.0000	
0.0170	2.0086e+005	0.9810	0.9928	0.9994	0.9970	0.0008	0.9948	0.9963	0.9973	0.0000	0.0000	
0.0180	2.0066e+005	0.9805	0.9925	0.9993	0.9968	0.0008	0.9945	0.9961	0.9971	0.0000	0.0000	
0.0190	2.0045e+005	0.9791	0.9920	0.9993	0.9965	0.0009	0.9941	0.9958	0.9970	0.0000	0.0000	
0.0200	2.0025e+005	0.9783	0.9916	0.9992	0.9963	0.0009	0.9937	0.9956	0.9968	0.0000	0.0000	
0.0210	2.0004e+005	0.9776	0.9912	0.9992	0.9961	0.0010	0.9934	0.9954	0.9967	0.0000	0.0000	
0.0220	1.9984e+005	0.9771	0.9909	0.9992	0.9959	0.0010	0.9930	0.9951	0.9966	0.0000	0.0000	
0.0230	1.9964e+005	0.9764	0.9905	0.9991	0.9956	0.0011	0.9926	0.9949	0.9965	0.0000	0.0000	
0.0240	1.9943e+005	0.9753	0.9901	0.9991	0.9954	0.0012	0.9922	0.9946	0.9963	0.0000	0.0000	
0.0250	1.9923e+005	0.9745	0.9897	0.9990	0.9952	0.0012	0.9918	0.9944	0.9961	0.0000	0.0000	
0.0260	1.9902e+005	0.9736	0.9893	0.9990	0.9949	0.0013	0.9914	0.9941	0.9960	0.0000	0.0000	
0.0270	1.9882e+005	0.9722	0.9887	0.9989	0.9947	0.0013	0.9910	0.9938	0.9958	0.0000	0.0000	
0.0280	1.9862e+005	0.9710	0.9882	0.9989	0.9945	0.0014	0.9907	0.9936	0.9956	0.0000	0.0000	
0.0290	1.9841e+005	0.9702	0.9878	0.9988	0.9942	0.0014	0.9903	0.9933	0.9954	0.0000	0.0000	
0.0300	1.9821e+005	0.9696	0.9875	0.9988	0.9940	0.0015	0.9899	0.9930	0.9952	0.0000	0.0000	
0.0310	1.98e+005 	0.9681	0.9869	0.9987	0.9937	0.0016	0.9895	0.9927	0.9950	0.0000	0.0000	
0.0320	1.978e+005	0.9670	0.9864	0.9986	0.9935	0.0016	0.9890	0.9924	0.9948	0.0000	0.0000	
0.0330	1.976e+005	0.9660	0.9860	0.9986	0.9932	0.0017	0.9886	0.9921	0.9946	0.0000	0.0000	
0.0340	1.9739e+005	0.9648	0.9855	0.9985	0.9930	0.0018	0.9882	0.9919	0.9944	0.0000	0.0000	
