F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	
0.9315	13995     	0.1124	0.2527	0.5032	0.2778	0.3051	0.1124	0.3105	0.5032	0.0000	0.0000	
0.9325	13791     	0.1106	0.2502	0.4995	0.2751	0.3071	0.1106	0.3077	0.4995	0.0000	0.0000	
0.9335	13587     	0.1089	0.2476	0.4958	0.2724	0.3091	0.1089	0.3050	0.4958	0.0000	0.0000	
0.9345	13383     	0.1071	0.2450	0.4918	0.2696	0.3112	0.1071	0.3021	0.4918	0.0000	0.0000	
0.9355	13179     	0.1054	0.2423	0.4875	0.2668	0.3133	0.1054	0.2991	0.4875	0.0000	0.0000	
0.9365	12975     	0.1037	0.2396	0.4834	0.2640	0.3155	0.1037	0.2961	0.4834	0.0000	0.0000	
0.9375	12771     	0.1019	0.2368	0.4790	0.2610	0.3178	0.1019	0.2930	0.4790	0.0000	0.0000	
0.9385	12567     	0.1002	0.2341	0.4747	0.2581	0.3200	0.1002	0.2900	0.4747	0.0000	0.0000	
0.9395	12363     	0.0985	0.2314	0.4704	0.2553	0.3222	0.0985	0.2870	0.4704	0.0000	0.0000	
0.9405	12159     	0.0967	0.2286	0.4660	0.2523	0.3245	0.0967	0.2839	0.4660	0.0000	0.0000	
0.9415	11955     	0.0950	0.2257	0.4612	0.2493	0.3269	0.0950	0.2806	0.4612	0.0000	0.0000	
0.9425	11751     	0.0933	0.2229	0.4567	0.2463	0.3293	0.0933	0.2775	0.4567	0.0000	0.0000	
0.9435	11547     	0.0915	0.2200	0.4520	0.2432	0.3318	0.0915	0.2742	0.4520	0.0000	0.0000	
0.9445	11343     	0.0899	0.2171	0.4470	0.2401	0.3342	0.0899	0.2708	0.4470	0.0000	0.0000	
0.9455	11139     	0.0882	0.2141	0.4420	0.2369	0.3367	0.0882	0.2674	0.4420	0.0000	0.0000	
0.9465	10935     	0.0864	0.2113	0.4373	0.2339	0.3393	0.0864	0.2642	0.4373	0.0000	0.0000	
0.9475	10731     	0.0847	0.2083	0.4325	0.2308	0.3418	0.0847	0.2609	0.4325	0.0000	0.0000	
0.9485	10527     	0.0830	0.2054	0.4276	0.2277	0.3444	0.0830	0.2576	0.4276	0.0000	0.0000	
0.9495	10323     	0.0813	0.2025	0.4225	0.2245	0.3471	0.0813	0.2542	0.4225	0.0000	0.0000	
0.9505	10119     	0.0796	0.1995	0.4174	0.2212	0.3498	0.0796	0.2507	0.4174	0.0000	0.0000	
0.9515	9915      	0.0780	0.1964	0.4120	0.2180	0.3526	0.0780	0.2472	0.4120	0.0000	0.0000	
0.9525	9711      	0.0762	0.1933	0.4066	0.2147	0.3555	0.0762	0.2436	0.4066	0.0000	0.0000	
0.9535	9507      	0.0745	0.1903	0.4015	0.2114	0.3583	0.0745	0.2401	0.4015	0.0000	0.0000	
