F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	
0.4293	1.1548e+005	0.6386	0.7392	0.9366	0.9366	0.0162	
0.4303	1.1527e+005	0.6364	0.7378	0.9360	0.9360	0.0164	
0.4313	1.1507e+005	0.6351	0.7370	0.9355	0.9355	0.0165	
0.4323	1.1487e+005	0.6344	0.7365	0.9351	0.9351	0.0166	
0.4333	1.1467e+005	0.6335	0.7359	0.9347	0.9347	0.0167	
0.4343	1.1447e+005	0.6320	0.7350	0.9342	0.9342	0.0169	
0.4353	1.1426e+005	0.6306	0.7339	0.9336	0.9336	0.0170	
0.4363	1.1406e+005	0.6292	0.7330	0.9331	0.9331	0.0172	
0.4373	1.1386e+005	0.6280	0.7322	0.9325	0.9325	0.0173	
0.4383	1.1366e+005	0.6271	0.7315	0.9320	0.9320	0.0175	
0.4393	1.1346e+005	0.6261	0.7309	0.9316	0.9316	0.0176	
0.4403	1.1325e+005	0.6248	0.7302	0.9312	0.9312	0.0177	
0.4413	1.1305e+005	0.6232	0.7292	0.9306	0.9306	0.0178	
0.4423	1.1285e+005	0.6219	0.7283	0.9301	0.9301	0.0180	
0.4433	1.1265e+005	0.6197	0.7271	0.9294	0.9294	0.0181	
0.4443	1.1245e+005	0.6181	0.7262	0.9288	0.9288	0.0183	
0.4453	1.1224e+005	0.6170	0.7255	0.9284	0.9284	0.0184	
0.4463	1.1204e+005	0.6161	0.7248	0.9280	0.9280	0.0185	
0.4473	1.1184e+005	0.6152	0.7241	0.9275	0.9275	0.0186	
0.4483	1.1164e+005	0.6137	0.7232	0.9269	0.9269	0.0188	
0.4493	1.1144e+005	0.6116	0.7220	0.9262	0.9262	0.0190	
0.4503	1.1123e+005	0.6098	0.7209	0.9256	0.9256	0.0191	
0.4513	1.1103e+005	0.6082	0.7199	0.9250	0.9250	0.0193	
0.4523	1.1083e+005	0.6069	0.7189	0.9244	0.9244	0.0195	
0.4533	1.1063e+005	0.6056	0.7179	0.9237	0.9237	0.0196	
0.4542	1.1043e+005	0.6043	0.7168	0.9231	0.9231	0.0198	
0.4552	1.1022e+005	0.6034	0.7162	0.9226	0.9226	0.0199	
0.4562	1.1002e+005	0.6026	0.7156	0.9221	0.9221	0.0201	
0.4572	1.0982e+005	0.6017	0.7150	0.9216	0.9216	0.0202	
0.4582	1.0962e+005	0.6008	0.7140	0.9210	0.9210	0.0204	
0.4592	1.0942e+005	0.5992	0.7130	0.9203	0.9203	0.0205	
0.4602	1.0921e+005	0.5980	0.7120	0.9197	0.9197	0.0207	
0.4612	1.0901e+005	0.5973	0.7115	0.9192	0.9192	0.0209	
0.4622	1.0881e+005	0.5969	0.7110	0.9187	0.9187	0.0210	
0.4632	1.0861e+005	0.5958	0.7103	0.9181	0.9181	0.0211	
0.4642	1.0841e+005	0.5938	0.7091	0.9174	0.9174	0.0213	
0.4652	1.082e+005	0.5925	0.7081	0.9168	0.9168	0.0215	
0.4662	1.08e+005 	0.5906	0.7070	0.9162	0.9162	0.0216	
0.4672	1.078e+005	0.5898	0.7064	0.9158	0.9158	0.0218	
0.4682	1.076e+005	0.5882	0.7053	0.9152	0.9152	0.0219	
0.4692	1.074e+005	0.5863	0.7042	0.9145	0.9145	0.0221	
0.4702	1.0719e+005	0.5841	0.7030	0.9138	0.9138	0.0223	
0.4712	1.0699e+005	0.5827	0.7019	0.9131	0.9131	0.0225	
0.4722	1.0679e+005	0.5816	0.7010	0.9124	0.9124	0.0227	
0.4732	1.0659e+005	0.5794	0.6996	0.9117	0.9117	0.0229	
0.4742	1.0639e+005	0.5780	0.6988	0.9111	0.9111	0.0230	
0.4752	1.0618e+005	0.5776	0.6982	0.9105	0.9105	0.0232	
0.4762	1.0598e+005	0.5765	0.6974	0.9100	0.9100	0.0233	
0.4772	1.0578e+005	0.5754	0.6964	0.9093	0.9093	0.0235	
0.4782	1.0558e+005	0.5739	0.6953	0.9086	0.9086	0.0237	
0.4792	1.0538e+005	0.5726	0.6942	0.9078	0.9078	0.0239	
0.4802	1.0517e+005	0.5717	0.6935	0.9072	0.9072	0.0240	
0.4812	1.0497e+005	0.5706	0.6928	0.9067	0.9067	0.0242	
0.4822	1.0477e+005	0.5691	0.6919	0.9061	0.9061	0.0244	
0.4832	1.0457e+005	0.5680	0.6910	0.9054	0.9054	0.0245	
0.4842	1.0437e+005	0.5666	0.6900	0.9047	0.9047	0.0247	
0.4852	1.0416e+005	0.5655	0.6892	0.9039	0.9039	0.0249	
0.4862	1.0396e+005	0.5646	0.6886	0.9034	0.9034	0.0251	
0.4872	1.0376e+005	0.5640	0.6878	0.9029	0.9029	0.0252	
0.4882	1.0356e+005	0.5627	0.6868	0.9022	0.9022	0.0254	
0.4892	1.0336e+005	0.5619	0.6860	0.9015	0.9015	0.0256	
0.4902	1.0315e+005	0.5608	0.6851	0.9007	0.9007	0.0258	
0.4912	1.0295e+005	0.5591	0.6841	0.8999	0.8999	0.0260	
0.4922	1.0275e+005	0.5577	0.6830	0.8991	0.8991	0.0262	
0.4932	1.0255e+005	0.5563	0.6820	0.8983	0.8983	0.0264	
0.4942	1.0235e+005	0.5551	0.6813	0.8977	0.8977	0.0266	
0.4952	1.0214e+005	0.5542	0.6807	0.8971	0.8971	0.0268	
0.4962	1.0194e+005	0.5521	0.6795	0.8965	0.8965	0.0270	
0.4972	1.0174e+005	0.5513	0.6787	0.8957	0.8957	0.0272	
0.4982	1.0154e+005	0.5502	0.6779	0.8949	0.8949	0.0274	
0.4992	1.0134e+005	0.5486	0.6769	0.8942	0.8942	0.0276	
0.5002	1.0113e+005	0.5475	0.6761	0.8936	0.8936	0.0277	
0.5012	1.0093e+005	0.5463	0.6754	0.8930	0.8930	0.0279	
0.5022	1.0073e+005	0.5448	0.6743	0.8922	0.8922	0.0281	
0.5032	1.0053e+005	0.5435	0.6732	0.8914	0.8914	0.0283	
0.5042	1.0033e+005	0.5423	0.6723	0.8906	0.8906	0.0286	
0.5052	1.0012e+005	0.5412	0.6714	0.8897	0.8897	0.0288	
0.5062	99922     	0.5400	0.6705	0.8889	0.8889	0.0290	
0.5072	99720     	0.5392	0.6697	0.8881	0.8881	0.0292	
0.5082	99518     	0.5379	0.6688	0.8875	0.8875	0.0294	
0.5092	99316     	0.5367	0.6680	0.8868	0.8868	0.0296	
0.5102	99114     	0.5355	0.6669	0.8860	0.8860	0.0298	
0.5112	98912     	0.5333	0.6657	0.8851	0.8851	0.0300	
0.5122	98710     	0.5325	0.6650	0.8845	0.8845	0.0302	
0.5132	98508     	0.5317	0.6643	0.8839	0.8839	0.0304	
0.5141	98306     	0.5313	0.6636	0.8831	0.8831	0.0306	
0.5151	98104     	0.5300	0.6624	0.8822	0.8822	0.0308	
0.5161	97902     	0.5288	0.6614	0.8813	0.8813	0.0311	
0.5171	97700     	0.5273	0.6604	0.8806	0.8806	0.0313	
0.5181	97498     	0.5263	0.6595	0.8799	0.8799	0.0315	
0.5191	97296     	0.5245	0.6585	0.8792	0.8792	0.0317	
0.5201	97094     	0.5234	0.6576	0.8783	0.8783	0.0319	
0.5211	96892     	0.5222	0.6566	0.8774	0.8774	0.0322	
0.5221	96690     	0.5208	0.6557	0.8765	0.8765	0.0324	
0.5231	96488     	0.5195	0.6548	0.8756	0.8756	0.0327	
0.5241	96286     	0.5173	0.6535	0.8747	0.8747	0.0329	
0.5251	96084     	0.5165	0.6528	0.8741	0.8741	0.0331	
0.5261	95882     	0.5158	0.6521	0.8734	0.8734	0.0333	
0.5271	95680     	0.5142	0.6510	0.8725	0.8725	0.0335	
0.5281	95478     	0.5128	0.6500	0.8715	0.8715	0.0338	
0.5291	95276     	0.5114	0.6490	0.8707	0.8707	0.0340	
0.5301	95074     	0.5108	0.6484	0.8701	0.8701	0.0342	
0.5311	94872     	0.5091	0.6472	0.8693	0.8693	0.0344	
0.5321	94670     	0.5073	0.6459	0.8683	0.8683	0.0347	
0.5331	94468     	0.5059	0.6448	0.8674	0.8674	0.0349	
0.5341	94266     	0.5055	0.6444	0.8668	0.8668	0.0351	
0.5351	94064     	0.5050	0.6439	0.8660	0.8660	0.0353	
0.5361	93862     	0.5039	0.6430	0.8650	0.8650	0.0356	
0.5371	93660     	0.5031	0.6421	0.8641	0.8641	0.0359	
0.5381	93458     	0.5017	0.6410	0.8631	0.8631	0.0361	
0.5391	93256     	0.5005	0.6401	0.8621	0.8621	0.0364	
0.5401	93054     	0.4999	0.6393	0.8613	0.8613	0.0366	
0.5411	92852     	0.4989	0.6385	0.8605	0.8605	0.0369	
0.5421	92650     	0.4978	0.6376	0.8595	0.8595	0.0371	
0.5431	92448     	0.4965	0.6365	0.8586	0.8586	0.0374	
0.5441	92246     	0.4961	0.6360	0.8579	0.8579	0.0376	
0.5451	92044     	0.4950	0.6351	0.8571	0.8571	0.0378	
0.5461	91842     	0.4936	0.6341	0.8561	0.8561	0.0381	
0.5471	91640     	0.4920	0.6327	0.8551	0.8551	0.0384	
0.5481	91438     	0.4907	0.6317	0.8541	0.8541	0.0387	
0.5491	91236     	0.4893	0.6304	0.8531	0.8531	0.0389	
0.5501	91034     	0.4882	0.6297	0.8524	0.8524	0.0391	
0.5511	90832     	0.4867	0.6287	0.8514	0.8514	0.0394	
0.5521	90630     	0.4859	0.6278	0.8503	0.8503	0.0397	
0.5531	90428     	0.4850	0.6271	0.8496	0.8496	0.0399	
0.5541	90226     	0.4839	0.6263	0.8487	0.8487	0.0402	
0.5551	90024     	0.4823	0.6253	0.8476	0.8476	0.0405	
0.5561	89822     	0.4812	0.6244	0.8467	0.8467	0.0407	
0.5571	89620     	0.4804	0.6236	0.8460	0.8460	0.0409	
0.5581	89418     	0.4790	0.6226	0.8449	0.8449	0.0413	
0.5591	89216     	0.4775	0.6215	0.8438	0.8438	0.0416	
0.5601	89014     	0.4761	0.6202	0.8427	0.8427	0.0419	
0.5611	88812     	0.4752	0.6193	0.8419	0.8419	0.0421	
0.5621	88610     	0.4739	0.6184	0.8410	0.8410	0.0424	
0.5631	88408     	0.4717	0.6170	0.8399	0.8399	0.0427	
0.5641	88206     	0.4707	0.6163	0.8393	0.8393	0.0429	
0.5651	88004     	0.4697	0.6156	0.8385	0.8385	0.0431	
0.5661	87802     	0.4686	0.6146	0.8374	0.8374	0.0434	
0.5671	87600     	0.4671	0.6137	0.8365	0.8365	0.0437	
0.5681	87398     	0.4657	0.6128	0.8356	0.8356	0.0439	
0.5691	87196     	0.4635	0.6115	0.8345	0.8345	0.0442	
0.5701	86994     	0.4619	0.6102	0.8333	0.8333	0.0446	
0.5711	86792     	0.4598	0.6088	0.8322	0.8322	0.0449	
0.5721	86590     	0.4590	0.6081	0.8314	0.8314	0.0451	
0.5731	86388     	0.4571	0.6068	0.8303	0.8303	0.0454	
0.5740	86186     	0.4558	0.6056	0.8292	0.8292	0.0457	
0.5750	85984     	0.4547	0.6047	0.8284	0.8284	0.0460	
0.5760	85782     	0.4531	0.6033	0.8272	0.8272	0.0463	
0.5770	85580     	0.4521	0.6025	0.8263	0.8263	0.0466	
0.5780	85378     	0.4509	0.6015	0.8253	0.8253	0.0469	
0.5790	85176     	0.4497	0.6004	0.8241	0.8241	0.0472	
0.5800	84974     	0.4481	0.5991	0.8228	0.8228	0.0476	
0.5810	84772     	0.4457	0.5978	0.8220	0.8220	0.0478	
0.5820	84570     	0.4439	0.5967	0.8210	0.8210	0.0481	
0.5830	84368     	0.4425	0.5956	0.8198	0.8198	0.0485	
0.5840	84166     	0.4421	0.5950	0.8190	0.8190	0.0487	
0.5850	83964     	0.4404	0.5936	0.8177	0.8177	0.0491	
0.5860	83762     	0.4390	0.5923	0.8165	0.8165	0.0494	
0.5870	83560     	0.4381	0.5915	0.8153	0.8153	0.0498	
0.5880	83358     	0.4371	0.5907	0.8145	0.8145	0.0500	
0.5890	83156     	0.4353	0.5893	0.8132	0.8132	0.0504	
0.5900	82954     	0.4346	0.5887	0.8125	0.8125	0.0506	
0.5910	82752     	0.4346	0.5883	0.8119	0.8119	0.0508	
0.5920	82550     	0.4345	0.5878	0.8110	0.8110	0.0510	
0.5930	82348     	0.4345	0.5873	0.8100	0.8100	0.0513	
0.5940	82146     	0.4345	0.5869	0.8091	0.8091	0.0516	
0.5950	81944     	0.4342	0.5862	0.8082	0.8082	0.0519	
0.5960	81742     	0.4341	0.5857	0.8070	0.8070	0.0522	
0.5970	81540     	0.4338	0.5850	0.8058	0.8058	0.0526	
0.5980	81338     	0.4325	0.5841	0.8046	0.8046	0.0529	
0.5990	81136     	0.4320	0.5834	0.8036	0.8036	0.0532	
0.6000	80934     	0.4302	0.5822	0.8022	0.8022	0.0536	
0.6010	80732     	0.4292	0.5812	0.8009	0.8009	0.0540	
0.6020	80530     	0.4285	0.5804	0.7999	0.7999	0.0543	
0.6030	80328     	0.4273	0.5793	0.7986	0.7986	0.0547	
0.6040	80126     	0.4259	0.5784	0.7976	0.7976	0.0550	
0.6050	79924     	0.4243	0.5774	0.7965	0.7965	0.0553	
0.6060	79722     	0.4234	0.5765	0.7952	0.7952	0.0557	
0.6070	79520     	0.4227	0.5758	0.7942	0.7942	0.0560	
0.6080	79318     	0.4207	0.5745	0.7928	0.7928	0.0564	
0.6090	79116     	0.4191	0.5733	0.7914	0.7914	0.0568	
0.6100	78914     	0.4185	0.5726	0.7904	0.7904	0.0571	
0.6110	78712     	0.4179	0.5719	0.7891	0.7891	0.0575	
0.6120	78510     	0.4171	0.5711	0.7879	0.7879	0.0578	
0.6130	78308     	0.4163	0.5703	0.7869	0.7869	0.0582	
0.6140	78106     	0.4153	0.5693	0.7856	0.7856	0.0586	
0.6150	77904     	0.4153	0.5688	0.7851	0.7851	0.0587	
0.6160	77702     	0.4147	0.5677	0.7840	0.7840	0.0590	
0.6170	77500     	0.4140	0.5668	0.7827	0.7827	0.0594	
0.6180	77298     	0.4128	0.5659	0.7816	0.7816	0.0598	
0.6190	77096     	0.4122	0.5650	0.7802	0.7802	0.0602	
0.6200	76894     	0.4115	0.5642	0.7792	0.7792	0.0605	
0.6210	76692     	0.4101	0.5629	0.7777	0.7777	0.0609	
0.6220	76490     	0.4095	0.5623	0.7769	0.7769	0.0612	
0.6230	76288     	0.4083	0.5613	0.7754	0.7754	0.0616	
0.6240	76086     	0.4069	0.5600	0.7739	0.7739	0.0621	
0.6250	75884     	0.4064	0.5593	0.7729	0.7729	0.0624	
0.6260	75682     	0.4050	0.5582	0.7716	0.7716	0.0628	
0.6270	75480     	0.4050	0.5575	0.7704	0.7704	0.0631	
0.6280	75278     	0.4045	0.5567	0.7693	0.7693	0.0635	
0.6290	75076     	0.4028	0.5552	0.7678	0.7678	0.0639	
0.6300	74874     	0.4023	0.5546	0.7668	0.7668	0.0642	
0.6310	74672     	0.4014	0.5535	0.7652	0.7652	0.0647	
0.6320	74470     	0.3998	0.5522	0.7637	0.7637	0.0652	
0.6330	74268     	0.3991	0.5514	0.7627	0.7627	0.0655	
0.6339	74066     	0.3980	0.5503	0.7612	0.7612	0.0659	
0.6349	73864     	0.3975	0.5497	0.7602	0.7602	0.0663	
0.6359	73662     	0.3962	0.5485	0.7586	0.7586	0.0667	
0.6369	73460     	0.3958	0.5480	0.7577	0.7577	0.0670	
