F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	
0.0480	1.9251e+005	0.9432	0.9713	0.9993	0.9993	0.0002	0.9949	0.9949	0.9949	0.0000	0.0000	
0.0490	1.9231e+005	0.9421	0.9707	0.9993	0.9993	0.0002	0.9948	0.9948	0.9948	0.0000	0.0000	
0.0500	1.9211e+005	0.9410	0.9701	0.9993	0.9993	0.0002	0.9946	0.9946	0.9946	0.0000	0.0000	
0.0510	1.919e+005	0.9403	0.9698	0.9993	0.9993	0.0002	0.9945	0.9945	0.9945	0.0000	0.0000	
0.0520	1.917e+005	0.9393	0.9693	0.9992	0.9992	0.0002	0.9943	0.9943	0.9943	0.0000	0.0000	
0.0530	1.915e+005	0.9384	0.9688	0.9992	0.9992	0.0002	0.9942	0.9942	0.9942	0.0000	0.0000	
0.0540	1.913e+005	0.9374	0.9683	0.9992	0.9992	0.0002	0.9941	0.9941	0.9941	0.0000	0.0000	
0.0550	1.911e+005	0.9366	0.9679	0.9992	0.9992	0.0002	0.9939	0.9939	0.9939	0.0000	0.0000	
0.0560	1.9089e+005	0.9358	0.9675	0.9991	0.9991	0.0002	0.9938	0.9938	0.9938	0.0000	0.0000	
0.0570	1.9069e+005	0.9352	0.9672	0.9991	0.9991	0.0002	0.9936	0.9936	0.9936	0.0000	0.0000	
0.0580	1.9049e+005	0.9342	0.9666	0.9991	0.9991	0.0002	0.9935	0.9935	0.9935	0.0000	0.0000	
0.0589	1.9029e+005	0.9334	0.9662	0.9991	0.9991	0.0002	0.9933	0.9933	0.9933	0.0000	0.0000	
0.0599	1.9009e+005	0.9326	0.9658	0.9990	0.9990	0.0002	0.9931	0.9931	0.9931	0.0000	0.0000	
0.0609	1.8988e+005	0.9319	0.9655	0.9990	0.9990	0.0002	0.9930	0.9930	0.9930	0.0000	0.0000	
0.0619	1.8968e+005	0.9312	0.9651	0.9990	0.9990	0.0003	0.9928	0.9928	0.9928	0.0000	0.0000	
0.0629	1.8948e+005	0.9305	0.9647	0.9989	0.9989	0.0003	0.9927	0.9927	0.9927	0.0000	0.0000	
0.0639	1.8928e+005	0.9296	0.9642	0.9989	0.9989	0.0003	0.9925	0.9925	0.9925	0.0000	0.0000	
0.0649	1.8908e+005	0.9291	0.9640	0.9989	0.9989	0.0003	0.9923	0.9923	0.9923	0.0000	0.0000	
0.0659	1.8887e+005	0.9285	0.9637	0.9989	0.9989	0.0003	0.9922	0.9922	0.9922	0.0000	0.0000	
0.0669	1.8867e+005	0.9281	0.9635	0.9988	0.9988	0.0003	0.9920	0.9920	0.9920	0.0000	0.0000	
0.0679	1.8847e+005	0.9278	0.9633	0.9988	0.9988	0.0003	0.9918	0.9918	0.9918	0.0000	0.0000	
0.0689	1.8827e+005	0.9267	0.9627	0.9988	0.9988	0.0003	0.9917	0.9917	0.9917	0.0000	0.0000	
0.0699	1.8807e+005	0.9262	0.9625	0.9987	0.9987	0.0003	0.9915	0.9915	0.9915	0.0000	0.0000	
0.0709	1.8786e+005	0.9256	0.9622	0.9987	0.9987	0.0003	0.9913	0.9913	0.9913	0.0000	0.0000	
0.0719	1.8766e+005	0.9247	0.9617	0.9987	0.9987	0.0003	0.9912	0.9912	0.9912	0.0000	0.0000	
0.0729	1.8746e+005	0.9239	0.9613	0.9986	0.9986	0.0003	0.9910	0.9910	0.9910	0.0000	0.0000	
0.0739	1.8726e+005	0.9231	0.9609	0.9986	0.9986	0.0004	0.9908	0.9908	0.9908	0.0000	0.0000	
0.0749	1.8706e+005	0.9221	0.9603	0.9986	0.9986	0.0004	0.9906	0.9906	0.9906	0.0000	0.0000	
0.0759	1.8685e+005	0.9209	0.9597	0.9985	0.9985	0.0004	0.9904	0.9904	0.9904	0.0000	0.0000	
0.0769	1.8665e+005	0.9202	0.9594	0.9985	0.9985	0.0004	0.9903	0.9903	0.9903	0.0000	0.0000	
0.0779	1.8645e+005	0.9189	0.9587	0.9984	0.9984	0.0004	0.9901	0.9901	0.9901	0.0000	0.0000	
0.0789	1.8625e+005	0.9182	0.9583	0.9984	0.9984	0.0004	0.9899	0.9899	0.9899	0.0000	0.0000	
0.0799	1.8605e+005	0.9168	0.9576	0.9984	0.9984	0.0004	0.9897	0.9897	0.9897	0.0000	0.0000	
0.0809	1.8584e+005	0.9160	0.9572	0.9983	0.9983	0.0004	0.9895	0.9895	0.9895	0.0000	0.0000	
0.0819	1.8564e+005	0.9150	0.9566	0.9983	0.9983	0.0004	0.9893	0.9893	0.9893	0.0000	0.0000	
0.0829	1.8544e+005	0.9142	0.9562	0.9982	0.9982	0.0004	0.9891	0.9891	0.9891	0.0000	0.0000	
0.0839	1.8524e+005	0.9127	0.9554	0.9982	0.9982	0.0004	0.9889	0.9889	0.9889	0.0000	0.0000	
0.0849	1.8504e+005	0.9117	0.9549	0.9982	0.9982	0.0005	0.9887	0.9887	0.9887	0.0000	0.0000	
