ADMU id: 0: F-lost, TF-cost	min-1 mean-1 wmean-1 max-1	
0.00001	0         	0.64229 	0.72506 	-0.10594	0.92165 	
0.00101	0         	0.63375 	0.72101 	-0.09783	0.91396 	
0.00201	0         	0.63093 	0.71618 	-0.08854	0.89818 	
0.00301	0         	0.62945 	0.71157 	-0.07989	0.88224 	
0.00400	0         	0.62804 	0.70698 	-0.07134	0.86631 	
0.00500	0         	0.62579 	0.70220 	-0.06247	0.85037 	
0.00600	0         	0.62113 	0.69685 	-0.05225	0.83444 	
0.00700	0         	0.61690 	0.69157 	-0.04235	0.81850 	
0.00800	0         	0.61394 	0.68656 	-0.03318	0.80257 	
0.00900	0         	0.61239 	0.68188 	-0.02477	0.78663 	
0.01000	0         	0.60950 	0.67688 	-0.01569	0.77069 	
0.01099	0         	0.60682 	0.67192 	-0.00681	0.75476 	
0.01199	0         	0.60498 	0.66715 	inf     	0.73882 	
0.01299	0         	0.60252 	0.66227 	inf     	0.72289 	
0.01399	0         	0.60082 	0.65754 	inf     	0.70695 	
0.01499	0         	0.59927 	0.65282 	inf     	0.69102 	
0.01599	0         	0.59716 	0.64797 	inf     	0.67508 	
0.01698	0         	0.59547 	0.64319 	inf     	0.67128 	
0.01798	0         	0.59321 	0.63827 	inf     	0.67067 	
0.01898	0         	0.59166 	0.63351 	inf     	0.67003 	
0.01998	0         	0.59046 	0.62883 	inf     	0.66934 	
0.02098	0         	0.58926 	0.62413 	inf     	0.66858 	
0.02198	0         	0.57947 	0.61940 	inf     	0.66769 	
0.02298	0         	0.56353 	0.61456 	inf     	0.66666 	
0.02397	0         	0.54760 	0.60978 	inf     	0.66544 	
0.02497	0         	0.53166 	0.60474 	inf     	0.66376 	
0.02597	0         	0.51573 	0.59962 	inf     	0.66179 	
0.02697	0         	0.49979 	0.59463 	inf     	0.65966 	
0.02797	0         	0.48880 	0.58995 	inf     	0.65795 	
0.02897	0         	0.48872 	0.58634 	inf     	0.65793 	
0.02997	0         	0.48699 	0.58260 	inf     	0.65785 	
0.03096	0         	0.48322 	0.57843 	inf     	0.65769 	
0.03196	0         	0.46815 	0.57329 	inf     	0.65759 	
0.03296	0         	0.46555 	0.56934 	inf     	0.65736 	
0.03396	0         	0.46108 	0.56535 	inf     	0.65694 	
0.03496	0         	0.46108 	0.56148 	inf     	0.65598 	
0.03596	0         	0.46108 	0.56018 	inf     	0.65544 	
0.03696	0         	0.46108 	0.55980 	inf     	0.65544 	
0.03795	0         	0.46092 	0.55934 	inf     	0.65542 	
0.03895	0         	0.45668 	0.55776 	inf     	0.65525 	
0.03995	0         	0.45652 	0.55728 	inf     	0.65522 	
0.04095	0         	0.45652 	0.55693 	inf     	0.65521 	
0.04195	0         	0.45652 	0.55653 	inf     	0.65521 	
0.04295	0         	0.45652 	0.55620 	inf     	0.65521 	
0.04394	0         	0.45652 	0.55591 	inf     	0.65521 	
0.04494	0         	0.45645 	0.55556 	inf     	0.65521 	
0.04594	0         	0.45645 	0.55523 	inf     	0.65519 	
0.04694	0         	0.45590 	0.55468 	inf     	0.65518 	
0.04794	0         	0.45590 	0.55435 	inf     	0.65517 	
0.04894	0         	0.45582 	0.55391 	inf     	0.65515 	
0.04994	0         	0.45456 	0.55306 	inf     	0.65512 	
0.05093	0         	0.45432 	0.55269 	inf     	0.65509 	
0.05193	0         	0.45432 	0.55236 	inf     	0.65506 	
0.05293	0         	0.45425 	0.55203 	inf     	0.65502 	
0.05393	0         	0.45425 	0.55169 	inf     	0.65498 	
0.05493	0         	0.45393 	0.55128 	inf     	0.65493 	
0.05593	0         	0.45393 	0.55087 	inf     	0.65488 	
0.05693	0         	0.45393 	0.55032 	inf     	0.65483 	
0.05792	0         	0.45268 	0.54950 	inf     	0.65477 	
0.05892	0         	0.45268 	0.54912 	inf     	0.65471 	
0.05992	0         	0.45244 	0.54865 	inf     	0.65464 	
0.06092	0         	0.45244 	0.54823 	inf     	0.65457 	
0.06192	0         	0.45150 	0.54746 	inf     	0.65450 	
0.06292	0         	0.45142 	0.54705 	inf     	0.65442 	
0.06392	0         	0.45118 	0.54656 	inf     	0.65434 	
0.06491	0         	0.45095 	0.54617 	inf     	0.65426 	
0.06591	0         	0.45071 	0.54571 	inf     	0.65417 	
0.06691	0         	0.45071 	0.54533 	inf     	0.65409 	
0.06791	0         	0.45071 	0.54494 	inf     	0.65400 	
0.06891	0         	0.45024 	0.54424 	inf     	0.65390 	
0.06991	0         	0.45008 	0.54364 	inf     	0.65380 	
0.07090	0         	0.44961 	0.54318 	inf     	0.65370 	
0.07190	0         	0.44961 	0.54279 	inf     	0.65360 	
0.07290	0         	0.44953 	0.54225 	inf     	0.65349 	
0.07390	0         	0.44812 	0.54130 	inf     	0.65338 	
0.07490	0         	0.44796 	0.54083 	inf     	0.65327 	
0.07590	0         	0.44789 	0.54039 	inf     	0.65316 	
0.07690	0         	0.44781 	0.53999 	inf     	0.65305 	
0.07789	0         	0.44781 	0.53968 	inf     	0.65292 	
0.07889	0         	0.44396 	0.53839 	inf     	0.65280 	
0.07989	0         	0.43532 	0.53577 	inf     	0.65270 	
0.08089	0         	0.43532 	0.53539 	inf     	0.65258 	
0.08189	0         	0.43532 	0.53500 	inf     	0.65244 	
0.08289	0         	0.43532 	0.53461 	inf     	0.65231 	
0.08389	0         	0.43532 	0.53426 	inf     	0.65217 	
0.08488	0         	0.43532 	0.53379 	inf     	0.65203 	
0.08588	0         	0.43493 	0.53326 	inf     	0.65188 	
0.08688	0         	0.43493 	0.53283 	inf     	0.65172 	
