F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	
0.0810	1.8565e+005	0.7546	0.7546	0.7546	0.7546	0.0680	
0.0820	1.8545e+005	0.7545	0.7545	0.7545	0.7545	0.0680	
0.0830	1.8525e+005	0.7543	0.7543	0.7543	0.7543	0.0681	
0.0840	1.8505e+005	0.7542	0.7542	0.7542	0.7542	0.0681	
0.0850	1.8485e+005	0.7541	0.7541	0.7541	0.7541	0.0681	
0.0860	1.8464e+005	0.7539	0.7539	0.7539	0.7539	0.0682	
0.0870	1.8444e+005	0.7538	0.7538	0.7538	0.7538	0.0682	
0.0880	1.8424e+005	0.7536	0.7536	0.7536	0.7536	0.0683	
0.0890	1.8404e+005	0.7535	0.7535	0.7535	0.7535	0.0683	
0.0900	1.8384e+005	0.7533	0.7533	0.7533	0.7533	0.0684	
0.0910	1.8363e+005	0.7532	0.7532	0.7532	0.7532	0.0684	
0.0920	1.8343e+005	0.7530	0.7530	0.7530	0.7530	0.0685	
0.0930	1.8323e+005	0.7529	0.7529	0.7529	0.7529	0.0685	
0.0940	1.8303e+005	0.7527	0.7527	0.7527	0.7527	0.0686	
0.0950	1.8283e+005	0.7525	0.7525	0.7525	0.7525	0.0686	
0.0960	1.8262e+005	0.7524	0.7524	0.7524	0.7524	0.0687	
0.0970	1.8242e+005	0.7522	0.7522	0.7522	0.7522	0.0687	
0.0980	1.8222e+005	0.7521	0.7521	0.7521	0.7521	0.0687	
0.0990	1.8202e+005	0.7519	0.7519	0.7519	0.7519	0.0688	
0.1000	1.8182e+005	0.7518	0.7518	0.7518	0.7518	0.0688	
0.1010	1.8161e+005	0.7516	0.7516	0.7516	0.7516	0.0689	
0.1020	1.8141e+005	0.7514	0.7514	0.7514	0.7514	0.0690	
0.1030	1.8121e+005	0.7513	0.7513	0.7513	0.7513	0.0690	
0.1040	1.8101e+005	0.7511	0.7511	0.7511	0.7511	0.0691	
0.1050	1.8081e+005	0.7509	0.7509	0.7509	0.7509	0.0691	
0.1060	1.806e+005	0.7507	0.7507	0.7507	0.7507	0.0692	
0.1070	1.804e+005	0.7505	0.7505	0.7505	0.7505	0.0692	
0.1080	1.802e+005	0.7503	0.7503	0.7503	0.7503	0.0693	
0.1090	1.8e+005  	0.7502	0.7502	0.7502	0.7502	0.0693	
0.1100	1.798e+005	0.7500	0.7500	0.7500	0.7500	0.0694	
0.1110	1.7959e+005	0.7498	0.7498	0.7498	0.7498	0.0695	
0.1120	1.7939e+005	0.7496	0.7496	0.7496	0.7496	0.0695	
0.1130	1.7919e+005	0.7494	0.7494	0.7494	0.7494	0.0696	
0.1140	1.7899e+005	0.7492	0.7492	0.7492	0.7492	0.0697	
0.1150	1.7879e+005	0.7490	0.7490	0.7490	0.7490	0.0697	
0.1160	1.7858e+005	0.7488	0.7488	0.7488	0.7488	0.0698	
0.1170	1.7838e+005	0.7486	0.7486	0.7486	0.7486	0.0698	
0.1180	1.7818e+005	0.7484	0.7484	0.7484	0.7484	0.0699	
0.1190	1.7798e+005	0.7482	0.7482	0.7482	0.7482	0.0700	
0.1200	1.7778e+005	0.7480	0.7480	0.7480	0.7480	0.0700	
0.1210	1.7757e+005	0.7478	0.7478	0.7478	0.7478	0.0701	
0.1220	1.7737e+005	0.7476	0.7476	0.7476	0.7476	0.0701	
0.1230	1.7717e+005	0.7474	0.7474	0.7474	0.7474	0.0702	
0.1240	1.7697e+005	0.7472	0.7472	0.7472	0.7472	0.0703	
0.1250	1.7677e+005	0.7470	0.7470	0.7470	0.7470	0.0703	
0.1260	1.7656e+005	0.7468	0.7468	0.7468	0.7468	0.0704	
0.1270	1.7636e+005	0.7467	0.7467	0.7467	0.7467	0.0704	
0.1280	1.7616e+005	0.7465	0.7465	0.7465	0.7465	0.0705	
0.1290	1.7596e+005	0.7463	0.7463	0.7463	0.7463	0.0706	
0.1300	1.7576e+005	0.7460	0.7460	0.7460	0.7460	0.0706	
0.1310	1.7555e+005	0.7458	0.7458	0.7458	0.7458	0.0707	
0.1320	1.7535e+005	0.7456	0.7456	0.7456	0.7456	0.0708	
0.1330	1.7515e+005	0.7454	0.7454	0.7454	0.7454	0.0708	
0.1340	1.7495e+005	0.7452	0.7452	0.7452	0.7452	0.0709	
0.1350	1.7475e+005	0.7450	0.7450	0.7450	0.7450	0.0710	
0.1360	1.7454e+005	0.7447	0.7447	0.7447	0.7447	0.0710	
0.1370	1.7434e+005	0.7445	0.7445	0.7445	0.7445	0.0711	
0.1380	1.7414e+005	0.7443	0.7443	0.7443	0.7443	0.0712	
0.1390	1.7394e+005	0.7441	0.7441	0.7441	0.7441	0.0712	
0.1400	1.7374e+005	0.7440	0.7440	0.7440	0.7440	0.0713	
0.1410	1.7353e+005	0.7437	0.7437	0.7437	0.7437	0.0713	
0.1420	1.7333e+005	0.7435	0.7435	0.7435	0.7435	0.0714	
0.1430	1.7313e+005	0.7433	0.7433	0.7433	0.7433	0.0715	
