F-lost	   TF_cost	
0.2290	1.5576e+005	
0.2300	1.5556e+005	
0.2310	1.5535e+005	
0.2320	1.5515e+005	
0.2330	1.5495e+005	
0.2340	1.5475e+005	
0.2350	1.5455e+005	
0.2360	1.5434e+005	
0.2370	1.5414e+005	
0.2380	1.5394e+005	
0.2390	1.5374e+005	
0.2400	1.5354e+005	
0.2410	1.5333e+005	
0.2420	1.5313e+005	
0.2430	1.5293e+005	
0.2440	1.5273e+005	
0.2450	1.5253e+005	
0.2460	1.5232e+005	
0.2470	1.5212e+005	
0.2480	1.5192e+005	
0.2490	1.5172e+005	
0.2500	1.5152e+005	
0.2510	1.5131e+005	
0.2520	1.5111e+005	
0.2530	1.5091e+005	
0.2540	1.5071e+005	
0.2550	1.5051e+005	
0.2560	1.503e+005	
0.2570	1.501e+005	
0.2580	1.499e+005	
0.2590	1.497e+005	
0.2600	1.495e+005	
0.2610	1.4929e+005	
0.2620	1.4909e+005	
0.2630	1.4889e+005	
0.2640	1.4869e+005	
0.2650	1.4849e+005	
0.2660	1.4828e+005	
0.2670	1.4808e+005	
0.2680	1.4788e+005	
0.2690	1.4768e+005	
0.2700	1.4748e+005	
0.2710	1.4727e+005	
0.2720	1.4707e+005	
0.2730	1.4687e+005	
0.2740	1.4667e+005	
0.2750	1.4647e+005	
0.2760	1.4626e+005	
0.2770	1.4606e+005	
0.2780	1.4586e+005	
0.2790	1.4566e+005	
0.2800	1.4546e+005	
0.2810	1.4525e+005	
0.2820	1.4505e+005	
0.2830	1.4485e+005	
0.2840	1.4465e+005	
0.2850	1.4445e+005	
0.2860	1.4424e+005	
0.2870	1.4404e+005	
0.2880	1.4384e+005	
0.2890	1.4364e+005	
0.2900	1.4344e+005	
0.2910	1.4323e+005	
0.2920	1.4303e+005	
0.2930	1.4283e+005	
0.2940	1.4263e+005	
0.2950	1.4243e+005	
0.2960	1.4222e+005	
0.2970	1.4202e+005	
0.2980	1.4182e+005	
0.2990	1.4162e+005	
0.3000	1.4142e+005	
0.3010	1.4121e+005	
0.3020	1.4101e+005	
0.3030	1.4081e+005	
0.3040	1.4061e+005	
0.3050	1.4041e+005	
0.3060	1.402e+005	
0.3070	1.4e+005  	
0.3080	1.398e+005	
0.3090	1.396e+005	
0.3100	1.394e+005	
0.3110	1.3919e+005	
0.3120	1.3899e+005	
0.3130	1.3879e+005	
0.3140	1.3859e+005	
0.3150	1.3839e+005	
0.3160	1.3818e+005	
0.3170	1.3798e+005	
0.3180	1.3778e+005	
0.3190	1.3758e+005	
0.3200	1.3738e+005	
0.3210	1.3717e+005	
0.3220	1.3697e+005	
0.3230	1.3677e+005	
0.3240	1.3657e+005	
0.3250	1.3637e+005	
0.3260	1.3616e+005	
0.3270	1.3596e+005	
0.3280	1.3576e+005	
0.3290	1.3556e+005	
0.3300	1.3536e+005	
0.3310	1.3515e+005	
0.3320	1.3495e+005	
0.3330	1.3475e+005	
0.3340	1.3455e+005	
0.3350	1.3435e+005	
0.3360	1.3414e+005	
0.3370	1.3394e+005	
0.3380	1.3374e+005	
0.3390	1.3354e+005	
0.3400	1.3334e+005	
0.3410	1.3313e+005	
0.3420	1.3293e+005	
0.3430	1.3273e+005	
0.3440	1.3253e+005	
0.3450	1.3233e+005	
0.3460	1.3212e+005	
0.3470	1.3192e+005	
0.3480	1.3172e+005	
0.3490	1.3152e+005	
0.3500	1.3132e+005	
0.3510	1.3111e+005	
0.3520	1.3091e+005	
0.3530	1.3071e+005	
0.3540	1.3051e+005	
0.3550	1.3031e+005	
0.3560	1.301e+005	
0.3570	1.299e+005	
0.3580	1.297e+005	
0.3590	1.295e+005	
0.3600	1.293e+005	
0.3610	1.2909e+005	
0.3620	1.2889e+005	
0.3630	1.2869e+005	
0.3640	1.2849e+005	
0.3650	1.2829e+005	
0.3660	1.2808e+005	
0.3670	1.2788e+005	
0.3680	1.2768e+005	
0.3690	1.2748e+005	
0.3700	1.2728e+005	
0.3710	1.2707e+005	
0.3720	1.2687e+005	
0.3730	1.2667e+005	
0.3740	1.2647e+005	
0.3750	1.2627e+005	
0.3760	1.2606e+005	
0.3770	1.2586e+005	
0.3780	1.2566e+005	
0.3790	1.2546e+005	
0.3800	1.2526e+005	
0.3810	1.2505e+005	
0.3820	1.2485e+005	
0.3830	1.2465e+005	
0.3840	1.2445e+005	
0.3850	1.2425e+005	
0.3860	1.2404e+005	
0.3870	1.2384e+005	
0.3880	1.2364e+005	
0.3890	1.2344e+005	
0.3900	1.2324e+005	
0.3910	1.2303e+005	
0.3920	1.2283e+005	
0.3930	1.2263e+005	
0.3940	1.2243e+005	
0.3950	1.2223e+005	
0.3960	1.2202e+005	
0.3970	1.2182e+005	
0.3980	1.2162e+005	
0.3990	1.2142e+005	
0.4000	1.2122e+005	
0.4010	1.2101e+005	
0.4020	1.2081e+005	
0.4030	1.2061e+005	
0.4040	1.2041e+005	
0.4050	1.2021e+005	
0.4060	1.2e+005  	
0.4070	1.198e+005	
0.4080	1.196e+005	
0.4090	1.194e+005	
0.4100	1.192e+005	
0.4110	1.1899e+005	
0.4120	1.1879e+005	
0.4130	1.1859e+005	
0.4140	1.1839e+005	
0.4150	1.1819e+005	
0.4160	1.1798e+005	
0.4170	1.1778e+005	
0.4180	1.1758e+005	
0.4190	1.1738e+005	
0.4200	1.1718e+005	
0.4210	1.1697e+005	
0.4220	1.1677e+005	
0.4230	1.1657e+005	
0.4240	1.1637e+005	
0.4250	1.1617e+005	
0.4260	1.1596e+005	
0.4270	1.1576e+005	
0.4280	1.1556e+005	
0.4290	1.1536e+005	
0.4300	1.1516e+005	
0.4310	1.1495e+005	
0.4320	1.1475e+005	
0.4330	1.1455e+005	
0.4340	1.1435e+005	
0.4350	1.1415e+005	
0.4360	1.1394e+005	
0.4370	1.1374e+005	
0.4380	1.1354e+005	
0.4390	1.1334e+005	
0.4400	1.1314e+005	
0.4410	1.1293e+005	
0.4420	1.1273e+005	
0.4430	1.1253e+005	
0.4440	1.1233e+005	
0.4450	1.1213e+005	
0.4460	1.1192e+005	
0.4470	1.1172e+005	
0.4480	1.1152e+005	
0.4490	1.1132e+005	
0.4500	1.1112e+005	
0.4510	1.1091e+005	
0.4520	1.1071e+005	
0.4530	1.1051e+005	
0.4540	1.1031e+005	
0.4550	1.1011e+005	
0.4560	1.099e+005	
0.4570	1.097e+005	
0.4580	1.095e+005	
0.4590	1.093e+005	
0.4600	1.091e+005	
0.4610	1.0889e+005	
0.4620	1.0869e+005	
0.4630	1.0849e+005	
0.4640	1.0829e+005	
0.4650	1.0809e+005	
0.4660	1.0788e+005	
0.4670	1.0768e+005	
0.4680	1.0748e+005	
0.4690	1.0728e+005	
0.4700	1.0708e+005	
0.4710	1.0687e+005	
0.4720	1.0667e+005	
0.4730	1.0647e+005	
0.4740	1.0627e+005	
0.4750	1.0607e+005	
0.4760	1.0586e+005	
0.4770	1.0566e+005	
0.4780	1.0546e+005	
0.4790	1.0526e+005	
0.4800	1.0506e+005	
0.4810	1.0485e+005	
0.4820	1.0465e+005	
0.4830	1.0445e+005	
0.4840	1.0425e+005	
0.4850	1.0405e+005	
0.4860	1.0384e+005	
0.4870	1.0364e+005	
0.4880	1.0344e+005	
0.4890	1.0324e+005	
0.4900	1.0304e+005	
0.4910	1.0283e+005	
0.4920	1.0263e+005	
0.4930	1.0243e+005	
0.4940	1.0223e+005	
0.4950	1.0203e+005	
0.4960	1.0182e+005	
0.4970	1.0162e+005	
0.4980	1.0142e+005	
0.4990	1.0122e+005	
0.5000	1.0102e+005	
0.5010	1.0081e+005	
0.5020	1.0061e+005	
0.5030	1.0041e+005	
0.5040	1.0021e+005	
0.5050	1.0001e+005	
0.5060	99804     	
0.5070	99602     	
0.5080	99400     	
0.5090	99198     	
0.5100	98996     	
0.5110	98794     	
0.5120	98592     	
0.5130	98390     	
0.5140	98188     	
0.5150	97986     	
0.5160	97784     	
0.5170	97582     	
0.5180	97380     	
0.5190	97178     	
0.5200	96976     	
0.5210	96774     	
0.5220	96572     	
0.5230	96370     	
0.5240	96168     	
0.5250	95966     	
0.5260	95764     	
0.5270	95562     	
0.5280	95360     	
0.5290	95158     	
0.5300	94956     	
0.5310	94754     	
0.5320	94552     	
0.5330	94350     	
0.5340	94148     	
0.5350	93946     	
0.5360	93744     	
0.5370	93542     	
0.5380	93340     	
0.5390	93138     	
0.5400	92936     	
0.5410	92734     	
0.5420	92532     	
0.5430	92330     	
0.5440	92128     	
0.5450	91926     	
0.5460	91724     	
0.5470	91522     	
0.5480	91320     	
0.5490	91118     	
0.5500	90916     	
0.5510	90714     	
0.5520	90512     	
0.5530	90310     	
0.5540	90108     	
0.5550	89906     	
0.5560	89704     	
0.5570	89502     	
0.5580	89300     	
0.5590	89098     	
0.5600	88896     	
0.5610	88694     	
0.5620	88492     	
0.5630	88290     	
0.5640	88088     	
0.5650	87886     	
0.5660	87684     	
0.5670	87482     	
0.5680	87280     	
0.5690	87078     	
0.5700	86876     	
0.5710	86674     	
0.5720	86472     	
0.5730	86270     	
0.5740	86068     	
0.5750	85866     	
0.5760	85664     	
0.5770	85462     	
0.5780	85260     	
0.5790	85058     	
0.5800	84856     	
0.5810	84654     	
0.5820	84452     	
0.5830	84250     	
0.5840	84048     	
0.5850	83846     	
0.5860	83644     	
0.5870	83442     	
0.5880	83240     	
0.5890	83038     	
0.5900	82836     	
0.5910	82634     	
0.5920	82432     	
0.5930	82230     	
0.5940	82028     	
0.5950	81826     	
0.5960	81624     	
0.5970	81422     	
0.5980	81220     	
0.5990	81018     	
0.6000	80816     	
0.6010	80614     	
0.6020	80412     	
0.6030	80210     	
0.6040	80008     	
0.6050	79806     	
0.6060	79604     	
0.6070	79402     	
0.6080	79200     	
0.6090	78998     	
0.6100	78796     	
0.6110	78594     	
0.6120	78392     	
0.6130	78190     	
0.6140	77988     	
0.6150	77786     	
0.6160	77584     	
0.6170	77382     	
0.6180	77180     	
0.6190	76978     	
0.6200	76776     	
0.6210	76574     	
0.6220	76372     	
0.6230	76170     	
0.6240	75968     	
0.6250	75766     	
0.6260	75564     	
0.6270	75362     	
0.6280	75160     	
0.6290	74958     	
0.6300	74756     	
0.6310	74554     	
0.6320	74352     	
0.6330	74150     	
0.6340	73948     	
0.6350	73746     	
0.6360	73544     	
0.6370	73342     	
0.6380	73140     	
0.6390	72938     	
0.6400	72736     	
0.6410	72534     	
0.6420	72332     	
0.6430	72130     	
0.6440	71928     	
0.6450	71726     	
0.6460	71524     	
0.6470	71322     	
0.6480	71120     	
0.6490	70918     	
0.6500	70716     	
0.6510	70514     	
0.6520	70312     	
0.6530	70110     	
0.6540	69908     	
0.6550	69706     	
0.6560	69504     	
0.6570	69302     	
0.6580	69100     	
0.6590	68898     	
0.6600	68696     	
0.6610	68494     	
0.6620	68292     	
0.6630	68090     	
0.6640	67888     	
0.6650	67686     	
0.6660	67484     	
0.6670	67282     	
0.6680	67080     	
0.6690	66878     	
0.6700	66676     	
0.6710	66474     	
0.6720	66272     	
0.6729	66070     	
0.6739	65868     	
0.6749	65666     	
0.6759	65464     	
0.6769	65262     	
0.6779	65060     	
0.6789	64858     	
0.6799	64656     	
0.6809	64454     	
0.6819	64252     	
0.6829	64050     	
0.6839	63848     	
0.6849	63646     	
0.6859	63444     	
0.6869	63242     	
0.6879	63040     	
0.6889	62838     	
0.6899	62636     	
0.6909	62434     	
0.6919	62232     	
0.6929	62030     	
0.6939	61828     	
0.6949	61626     	
0.6959	61424     	
0.6969	61222     	
0.6979	61020     	
0.6989	60818     	
0.6999	60616     	
0.7009	60414     	
0.7019	60212     	
0.7029	60010     	
0.7039	59808     	
0.7049	59606     	
0.7059	59404     	
0.7069	59202     	
0.7079	59000     	
0.7089	58798     	
0.7099	58596     	
0.7109	58394     	
0.7119	58192     	
0.7129	57990     	
0.7139	57788     	
0.7149	57586     	
0.7159	57384     	
0.7169	57182     	
0.7179	56980     	
0.7189	56778     	
0.7199	56576     	
0.7209	56374     	
0.7219	56172     	
0.7229	55970     	
0.7239	55768     	
0.7249	55566     	
0.7259	55364     	
0.7269	55162     	
0.7279	54960     	
0.7289	54758     	
0.7299	54556     	
0.7309	54354     	
0.7319	54152     	
0.7329	53950     	
0.7339	53748     	
0.7349	53546     	
0.7359	53344     	
0.7369	53142     	
0.7379	52940     	
0.7389	52738     	
0.7399	52536     	
0.7409	52334     	
0.7419	52132     	
0.7429	51930     	
0.7439	51728     	
0.7449	51526     	
0.7459	51324     	
0.7469	51122     	
0.7479	50920     	
0.7489	50718     	
0.7499	50516     	
0.7509	50314     	
0.7519	50112     	
0.7529	49910     	
0.7539	49708     	
0.7549	49506     	
0.7559	49304     	
0.7569	49102     	
0.7579	48900     	
0.7589	48698     	
0.7599	48496     	
0.7609	48294     	
0.7619	48092     	
0.7629	47890     	
0.7639	47688     	
0.7649	47486     	
0.7659	47284     	
0.7669	47082     	
0.7679	46880     	
0.7689	46678     	
0.7699	46476     	
0.7709	46274     	
0.7719	46072     	
0.7729	45870     	
0.7739	45668     	
0.7749	45466     	
0.7759	45264     	
0.7769	45062     	
0.7779	44860     	
0.7789	44658     	
0.7799	44456     	
0.7809	44254     	
0.7819	44052     	
0.7829	43850     	
0.7839	43648     	
0.7849	43446     	
0.7859	43244     	
0.7869	43042     	
0.7879	42840     	
0.7889	42638     	
0.7899	42436     	
0.7909	42234     	
0.7919	42032     	
0.7929	41830     	
0.7939	41628     	
0.7949	41426     	
0.7959	41224     	
0.7969	41022     	
0.7979	40820     	
0.7989	40618     	
0.7999	40416     	
0.8009	40214     	
0.8019	40012     	
