F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	
0.0489	1.9335e+005	0.5341	0.8288	0.9791	0.0000	0.0000	0.9791	0.9791	0.9791	0.0000	0.0000	
0.0499	1.9315e+005	0.5328	0.8280	0.9791	0.0000	0.0000	0.9791	0.9791	0.9791	0.0000	0.0000	
0.0509	1.9295e+005	0.5326	0.8276	0.9791	0.0000	0.0000	0.9791	0.9791	0.9791	0.0000	0.0000	
0.0519	1.9274e+005	0.5326	0.8273	0.9790	0.0000	0.0000	0.9790	0.9790	0.9790	0.0000	0.0000	
0.0529	1.9254e+005	0.5325	0.8269	0.9790	0.0000	0.0000	0.9790	0.9790	0.9790	0.0000	0.0000	
0.0539	1.9234e+005	0.5325	0.8266	0.9790	0.0000	0.0000	0.9790	0.9790	0.9790	0.0000	0.0000	
0.0549	1.9213e+005	0.5322	0.8262	0.9789	0.0000	0.0000	0.9789	0.9789	0.9789	0.0000	0.0000	
0.0559	1.9193e+005	0.5322	0.8258	0.9789	0.0000	0.0000	0.9789	0.9789	0.9789	0.0000	0.0000	
0.0569	1.9173e+005	0.5322	0.8252	0.9788	0.0000	0.0000	0.9788	0.9788	0.9788	0.0000	0.0000	
0.0579	1.9152e+005	0.5309	0.8244	0.9787	0.0000	0.0000	0.9787	0.9787	0.9787	0.0000	0.0000	
0.0589	1.9132e+005	0.5309	0.8240	0.9787	0.0000	0.0000	0.9787	0.9787	0.9787	0.0000	0.0000	
0.0599	1.9112e+005	0.5307	0.8235	0.9786	0.0000	0.0000	0.9786	0.9786	0.9786	0.0000	0.0000	
0.0609	1.9092e+005	0.5307	0.8231	0.9785	0.0000	0.0000	0.9785	0.9785	0.9785	0.0000	0.0000	
0.0619	1.9071e+005	0.5298	0.8224	0.9785	0.0000	0.0000	0.9785	0.9785	0.9785	0.0000	0.0000	
0.0629	1.9051e+005	0.5297	0.8220	0.9784	0.0000	0.0000	0.9784	0.9784	0.9784	0.0000	0.0000	
0.0639	1.9031e+005	0.5294	0.8215	0.9783	0.0000	0.0000	0.9783	0.9783	0.9783	0.0000	0.0000	
